Date,Open ,High ,Low ,Close ,Adj Close ,Volume 
2015-01-01,20.17,20.39,20.01,20.19,9.21,1246600.0
2015-01-02,20.17,20.43,19.94,19.97,9.11,2449500.0
2015-01-05,20.0,20.4,19.95,20.28,9.24,3673100.0
2015-01-06,20.35,20.37,20.0,20.05,9.14,1507075.0
2015-01-07,20.05,20.34,20.05,20.17,9.2,836625.0
2015-01-08,20.17,20.3,20.07,20.23,9.23,909650.0
2015-01-09,20.3,21.24,20.3,21.04,9.59,10246500.0
2015-01-12,20.96,21.48,20.96,21.27,9.7,4134250.0
2015-01-13,21.43,21.43,20.75,20.85,9.51,2752525.0
2015-01-14,20.88,20.91,20.5,20.77,9.47,2961825.0
2015-01-15,20.87,21.09,20.7,20.85,9.51,2212025.0
2015-01-16,21.04,21.04,20.87,20.97,9.56,1172425.0
2015-01-19,20.97,21.23,20.97,21.18,9.66,2178100.0
2015-01-20,21.22,21.22,20.9,21.21,9.67,1501900.0
2015-01-21,21.19,21.52,21.17,21.38,9.75,3996825.0
2015-01-22,21.22,21.5,21.2,21.23,9.68,2951475.0
2015-01-23,21.17,21.41,21.0,21.11,9.63,2134975.0
2015-01-26,21.01,21.7,20.87,21.41,9.76,5333125.0
2015-01-27,21.51,21.51,21.22,21.23,9.68,2086100.0
2015-01-28,21.14,21.3,21.0,21.04,9.59,694600.0
2015-01-29,21.04,21.32,20.87,20.9,9.53,4046850.0
2015-01-30,20.97,21.63,20.87,21.33,9.72,7018450.0
2015-02-02,21.36,21.65,21.23,21.37,9.74,2135550.0
2015-02-03,21.35,21.9,21.3,21.77,9.92,4173925.0
2015-02-04,21.9,22.13,21.83,21.91,9.99,6276700.0
2015-02-05,21.91,21.91,21.91,21.91,9.99,
2015-02-06,22.08,22.13,21.91,22.0,10.03,2442600.0
2015-02-09,22.09,22.21,21.87,22.07,10.06,3579375.0
2015-02-10,21.91,22.12,21.57,21.69,9.89,2167750.0
2015-02-11,21.62,21.69,21.04,21.21,9.67,4605750.0
2015-02-12,21.35,21.37,20.78,21.3,9.71,3355700.0
2015-02-13,21.04,21.65,20.61,20.81,9.49,12688525.0
2015-02-16,20.87,20.96,20.23,20.3,9.26,2517350.0
2015-02-17,20.42,20.43,19.74,19.82,9.03,5062875.0
2015-02-18,19.75,20.0,19.67,19.74,9.0,1528350.0
2015-02-19,19.66,20.04,19.62,19.93,9.09,1303525.0
2015-02-20,20.0,20.09,19.83,19.91,9.08,787175.0
2015-02-23,20.0,20.0,19.83,19.88,9.06,682525.0
2015-02-24,19.83,20.0,19.83,19.85,9.05,1557675.0
2015-02-25,19.85,19.97,19.7,19.74,9.0,717600.0
2015-02-26,19.78,19.9,19.7,19.74,9.0,1056275.0
2015-02-27,19.57,19.74,19.37,19.4,8.84,1969375.0
2015-03-02,19.48,19.48,18.71,18.83,8.59,1891175.0
2015-03-03,18.77,19.77,18.77,19.43,8.86,3554075.0
2015-03-04,19.74,19.83,19.4,19.45,8.87,796950.0
2015-03-05,19.39,19.74,19.39,19.7,8.98,717025.0
2015-03-06,19.7,19.7,19.39,19.45,8.87,246675.0
2015-03-09,19.26,19.56,19.09,19.13,8.72,826850.0
2015-03-10,19.17,19.17,18.65,18.7,8.52,1350675.0
2015-03-11,18.48,18.96,18.48,18.83,8.59,539350.0
2015-03-12,18.7,18.9,18.67,18.77,8.56,2468475.0
2015-03-13,18.83,19.39,18.83,19.25,8.78,290950.0
2015-03-16,19.52,19.52,18.89,18.96,8.64,336375.0
2015-03-17,18.98,18.98,18.48,18.57,8.47,813625.0
2015-03-18,19.03,19.03,17.65,17.82,8.12,2819800.0
2015-03-19,17.65,18.07,17.49,17.63,8.04,1620925.0
2015-03-20,16.55,16.9,16.48,16.56,7.94,1703150.0
2015-03-23,16.56,16.56,16.56,16.56,7.94,
2015-03-24,16.52,16.78,16.18,16.44,7.89,892975.0
2015-03-25,16.42,16.51,15.57,15.63,7.5,3310275.0
2015-03-26,15.87,15.87,14.8,15.42,7.39,3091200.0
2015-03-27,15.43,15.52,14.79,15.01,7.2,2422475.0
2015-03-30,14.8,14.8,14.14,14.25,6.83,4425775.0
2015-03-31,14.73,15.12,14.7,15.12,7.25,1924525.0
2015-04-01,15.35,15.99,14.79,15.59,7.48,3324075.0
2015-04-02,15.83,16.46,15.65,16.35,7.84,2107375.0
2015-04-03,16.52,17.04,16.35,16.94,8.12,2294825.0
2015-04-06,17.24,17.24,16.88,17.1,8.2,840075.0
2015-04-07,16.78,16.87,16.46,16.73,8.02,1454175.0
2015-04-08,16.78,17.17,16.61,16.71,8.01,968300.0
2015-04-09,16.71,16.87,16.57,16.63,7.97,328325.0
2015-04-10,16.77,17.13,16.57,16.81,8.06,428950.0
2015-04-13,16.61,16.87,16.52,16.7,8.01,596850.0
2015-04-14,16.86,17.09,16.52,16.63,7.97,1211525.0
2015-04-15,16.75,16.96,16.43,16.56,7.94,1223025.0
2015-04-16,16.84,17.34,16.74,17.21,8.25,3094075.0
2015-04-17,17.09,18.08,17.07,18.03,8.65,7076525.0
2015-04-20,18.43,18.67,17.83,18.17,8.72,6136975.0
2015-04-21,18.26,18.43,17.74,18.03,8.64,2178675.0
2015-04-22,18.04,18.92,18.0,18.92,9.07,10222350.0
2015-04-23,19.42,19.86,19.14,19.26,9.24,14992550.0
2015-04-24,19.47,19.47,18.98,19.08,9.15,2196500.0
2015-04-27,18.93,19.25,18.89,19.03,9.12,1459350.0
2015-04-28,18.8,19.24,18.78,18.91,9.07,1887150.0
2015-04-29,19.04,19.13,18.7,18.83,9.03,786600.0
2015-04-30,18.78,19.04,18.7,18.71,8.97,1106875.0
2015-05-01,18.71,18.71,18.71,18.71,8.97,
2015-05-04,18.91,18.95,18.43,18.53,8.89,964850.0
2015-05-05,18.53,18.53,18.26,18.39,8.82,717600.0
2015-05-06,18.48,18.7,18.43,18.61,8.92,442175.0
2015-05-07,18.62,18.82,18.35,18.7,8.97,434700.0
2015-05-08,18.28,18.96,18.26,18.69,8.96,769350.0
2015-05-11,18.35,18.63,17.97,18.04,8.65,790625.0
2015-05-12,17.83,18.59,17.83,18.27,8.76,522675.0
2015-05-13,18.13,18.33,18.13,18.28,8.77,208725.0
