Date,Open ,High ,Low ,Close ,Adj Close ,Volume 
2015-01-01,217.98,217.98,214.51,216.03,105.2,12800.0
2015-01-02,215.1,220.0,215.1,218.8,106.55,255600.0
2015-01-05,219.9,220.84,218.2,220.02,107.14,114400.0
2015-01-06,221.9,221.9,218.15,218.46,106.38,64300.0
2015-01-07,219.5,221.0,218.4,219.57,106.92,190800.0
2015-01-08,218.0,219.7,214.01,215.99,105.18,92700.0
2015-01-09,217.49,219.69,215.0,217.54,105.93,29500.0
2015-01-12,218.8,218.8,217.0,217.82,106.07,46200.0
2015-01-13,218.0,219.0,217.0,217.1,105.72,38200.0
2015-01-14,218.74,219.98,216.0,217.96,106.14,157700.0
2015-01-15,218.0,220.0,216.5,218.01,106.16,89200.0
2015-01-16,218.88,219.01,214.99,215.7,105.04,120400.0
2015-01-19,215.5,216.89,215.5,215.71,105.04,40000.0
2015-01-20,215.15,216.5,213.5,213.69,104.06,185600.0
2015-01-21,213.75,216.0,213.55,213.88,104.15,244400.0
2015-01-22,214.0,214.0,212.71,212.82,103.63,16800.0
2015-01-23,212.0,213.5,212.0,212.36,103.41,17500.0
2015-01-26,210.0,217.5,210.0,215.42,104.9,153100.0
2015-01-27,214.21,214.21,211.0,211.36,102.92,303600.0
2015-01-28,211.8,212.9,205.99,206.43,100.52,738100.0
2015-01-29,207.95,208.5,207.0,207.95,101.26,45700.0
2015-01-30,207.9,211.6,207.9,210.47,102.49,117300.0
2015-02-02,210.5,212.5,210.25,211.53,103.01,87800.0
2015-02-03,211.99,213.0,210.5,212.76,103.6,50800.0
2015-02-04,209.05,213.65,209.05,212.91,103.68,123800.0
2015-02-05,212.91,212.91,212.91,212.91,103.68,
2015-02-06,211.06,212.1,210.0,210.42,102.47,110900.0
2015-02-09,212.5,212.5,207.5,208.09,101.33,42700.0
2015-02-10,208.01,208.01,203.56,204.36,99.51,104000.0
2015-02-11,205.0,206.2,202.49,203.71,99.2,126600.0
2015-02-12,202.11,204.2,193.6,197.91,96.37,127500.0
2015-02-13,198.57,203.0,198.0,201.84,98.29,49400.0
2015-02-16,202.0,203.0,200.0,202.48,98.6,20600.0
2015-02-17,202.5,208.0,201.75,202.48,98.6,205500.0
2015-02-18,203.5,205.9,202.0,204.41,99.54,182000.0
2015-02-19,205.0,206.5,204.01,205.49,100.06,127000.0
2015-02-20,205.99,206.3,204.7,205.05,99.85,40200.0
2015-02-23,205.0,206.0,203.5,203.99,99.33,63700.0
2015-02-24,204.0,205.0,203.5,204.44,99.55,115200.0
2015-02-25,204.85,206.1,203.0,203.68,99.18,46300.0
2015-02-26,204.1,205.8,195.0,203.23,98.96,73100.0
2015-02-27,205.4,205.4,202.6,203.71,99.2,27500.0
2015-03-02,203.71,204.9,202.0,202.85,98.78,304000.0
2015-03-03,200.1,205.5,200.1,200.91,97.83,59800.0
2015-03-04,203.99,203.99,200.0,200.2,97.49,50000.0
2015-03-05,202.0,203.9,200.6,202.61,98.66,29900.0
2015-03-06,203.9,204.0,201.1,201.89,98.31,59100.0
2015-03-09,201.89,201.89,199.0,200.26,97.52,38300.0
2015-03-10,201.11,201.8,198.5,198.9,96.86,58500.0
2015-03-11,195.61,198.0,195.6,197.69,96.27,60700.0
2015-03-12,195.95,198.0,195.95,196.01,95.45,49400.0
2015-03-13,197.0,202.5,197.0,199.97,97.38,120200.0
2015-03-16,188.75,196.0,188.75,196.0,98.14,42700.0
2015-03-17,189.99,189.99,185.0,185.25,92.76,45200.0
2015-03-18,185.26,188.0,184.01,187.64,93.96,53400.0
2015-03-19,186.21,190.0,186.21,188.28,94.28,59200.0
2015-03-20,188.05,192.51,188.05,190.16,95.22,36300.0
2015-03-23,190.16,190.16,190.16,190.16,95.22,
2015-03-24,190.0,190.0,187.13,187.5,93.89,9700.0
2015-03-25,187.0,188.0,185.65,185.94,93.11,11600.0
2015-03-26,188.0,188.0,178.0,179.94,90.1,17300.0
2015-03-27,181.5,181.5,175.51,176.29,88.27,22100.0
2015-03-30,175.25,175.25,167.48,169.4,84.82,54400.0
2015-03-31,172.97,177.87,172.97,177.87,89.06,26200.0
2015-04-01,180.55,186.76,180.52,184.96,92.61,183700.0
2015-04-02,186.9,191.6,186.49,187.66,93.97,45900.0
