Date,Open ,High ,Low ,Close ,Adj Close ,Volume 
2015-01-01,307.0,311.99,306.05,308.98,88.41,110200.0
2015-01-02,308.0,313.0,308.0,311.9,89.25,128600.0
2015-01-05,311.0,311.0,307.86,309.13,88.45,746000.0
2015-01-06,305.02,311.0,305.02,309.95,88.69,158800.0
2015-01-07,308.5,324.0,308.0,319.65,91.46,1803900.0
2015-01-08,319.65,321.0,314.11,316.31,90.51,217200.0
2015-01-09,317.5,318.0,309.5,311.05,89.0,119300.0
2015-01-12,311.0,319.0,311.0,317.09,90.73,265000.0
2015-01-13,317.5,319.7,315.0,318.8,91.22,157100.0
2015-01-14,319.98,323.99,317.05,320.06,91.58,641900.0
2015-01-15,322.0,325.5,319.0,321.34,91.95,146100.0
2015-01-16,320.0,328.0,320.0,326.11,93.31,215400.0
2015-01-19,326.99,331.25,324.6,330.68,94.62,250400.0
2015-01-20,331.5,336.0,328.13,334.4,95.68,293600.0
2015-01-21,333.0,335.9,333.0,334.87,95.82,144900.0
2015-01-22,333.01,335.49,331.6,334.85,95.81,84100.0
2015-01-23,335.0,335.0,328.3,329.75,94.35,194100.0
2015-01-26,333.0,335.0,330.0,333.77,95.5,83800.0
2015-01-27,331.01,334.71,330.1,332.49,95.14,281600.0
2015-01-28,332.99,335.0,329.06,333.96,95.56,392400.0
2015-01-29,333.95,336.0,332.01,334.81,95.8,70500.0
2015-01-30,333.1,336.0,333.1,334.82,95.8,116700.0
2015-02-02,334.5,336.0,331.0,334.5,95.71,268600.0
2015-02-03,334.5,343.0,332.0,338.82,96.95,312000.0
2015-02-04,337.94,340.0,327.8,331.75,94.92,500200.0
2015-02-05,331.75,331.75,331.75,331.75,94.92,
2015-02-06,331.98,331.98,319.8,321.27,91.93,1337500.0
2015-02-09,322.5,323.02,312.9,314.52,89.99,121900.0
2015-02-10,314.76,316.4,313.6,314.32,89.94,74400.0
2015-02-11,314.0,316.0,313.0,314.33,89.94,120000.0
2015-02-12,316.9,316.9,303.2,305.22,87.33,206400.0
2015-02-13,305.0,314.57,302.01,306.72,87.76,137500.0
2015-02-16,306.72,309.45,302.5,303.38,86.81,87200.0
2015-02-17,307.99,307.99,301.07,301.88,86.38,96100.0
2015-02-18,304.2,304.2,299.0,301.41,86.24,73700.0
2015-02-19,302.99,307.4,300.35,306.96,87.83,57800.0
2015-02-20,307.0,315.89,304.11,314.48,89.98,43200.0
2015-02-23,313.26,317.99,308.0,312.17,89.32,163900.0
2015-02-24,311.99,319.0,311.01,317.92,90.97,70400.0
2015-02-25,320.97,320.97,315.0,318.31,91.08,41400.0
2015-02-26,318.31,319.9,316.25,317.08,90.73,60300.0
2015-02-27,314.51,314.51,301.5,303.95,86.97,310600.0
2015-03-02,305.0,308.99,300.6,303.46,86.83,390900.0
2015-03-03,303.0,304.94,291.4,293.89,84.09,524800.0
2015-03-04,296.0,300.0,296.0,297.74,85.19,69900.0
2015-03-05,298.25,299.5,295.5,296.0,84.7,81800.0
2015-03-06,296.25,296.5,285.1,288.59,82.58,163600.0
2015-03-09,287.0,288.0,278.06,279.71,80.03,170700.0
2015-03-10,279.5,281.0,275.04,276.58,79.14,202200.0
2015-03-11,274.0,279.45,272.5,277.82,79.49,137400.0
2015-03-12,277.82,279.0,273.5,274.93,78.67,103000.0
2015-03-13,277.78,278.6,275.41,277.6,79.43,403500.0
2015-03-16,280.0,281.0,275.5,277.73,79.47,184000.0
2015-03-17,277.85,277.85,273.0,273.95,79.53,140400.0
2015-03-18,277.99,277.99,263.0,270.96,78.66,345700.0
2015-03-19,270.0,270.0,262.0,264.3,76.73,336300.0
2015-03-20,264.5,264.5,251.09,251.09,72.9,2145600.0
2015-03-23,251.09,251.09,251.09,251.09,72.9,
2015-03-24,251.09,251.14,238.54,239.25,69.46,2546400.0
2015-03-25,237.66,243.2,237.65,240.25,69.75,716700.0
2015-03-26,243.95,246.0,237.0,242.69,70.46,901700.0
2015-03-27,244.1,244.55,236.0,238.67,69.29,550000.0
2015-03-30,238.0,240.0,226.77,234.8,68.17,1127700.0
2015-03-31,235.0,246.54,235.0,246.53,71.57,1037200.0
2015-04-01,246.55,258.85,243.0,258.4,75.02,540600.0
2015-04-02,260.01,263.0,256.0,258.82,75.14,319100.0
2015-04-03,262.0,264.0,254.75,260.29,75.57,428600.0
2015-04-06,260.0,262.9,259.4,261.76,75.99,295300.0
2015-04-07,260.99,260.99,257.5,258.88,75.16,284600.0
2015-04-08,260.25,260.5,250.0,251.63,73.05,416300.0
2015-04-09,252.99,255.0,245.0,254.23,73.81,401200.0
2015-04-10,254.0,266.94,254.0,262.89,76.32,618700.0
2015-04-13,263.0,263.0,257.65,259.79,75.42,240900.0
2015-04-14,259.61,261.9,257.0,258.72,75.11,215000.0
2015-04-15,260.0,261.2,258.73,259.9,75.45,123300.0
2015-04-16,261.8,264.8,258.65,263.03,76.36,240500.0
2015-04-17,260.26,275.0,260.12,271.32,78.77,736500.0
2015-04-20,275.0,284.88,272.5,284.71,82.66,708900.0
2015-04-21,283.07,295.0,283.0,284.36,82.55,227200.0
2015-04-22,283.52,294.49,283.51,287.46,83.45,594400.0
2015-04-23,289.0,289.0,280.99,282.28,81.95,269900.0
2015-04-24,283.0,286.99,281.01,286.19,83.09,195200.0
2015-04-27,286.55,292.5,286.55,291.68,84.68,734000.0
2015-04-28,292.97,300.5,284.0,285.39,82.85,935100.0
2015-04-29,287.0,287.0,280.0,281.15,81.62,583300.0
2015-04-30,281.95,281.95,276.0,276.28,80.21,195300.0
2015-05-01,276.28,276.28,276.28,276.28,80.21,
2015-05-04,278.0,280.0,275.85,277.42,80.54,111300.0
2015-05-05,278.97,282.0,275.05,276.01,80.13,91600.0
2015-05-06,277.48,280.01,276.06,279.02,81.0,96900.0
2015-05-07,278.0,278.99,274.5,275.87,80.09,314100.0
2015-05-08,276.0,276.9,272.8,273.26,79.33,38400.0
2015-05-11,271.06,271.06,262.31,264.04,76.65,141600.0
2015-05-12,268.65,269.7,265.25,268.65,77.99,54200.0
2015-05-13,269.5,270.0,267.0,267.2,77.57,31400.0
2015-05-14,269.85,269.85,265.0,265.24,77.0,56000.0
2015-05-15,266.0,267.5,264.5,266.1,77.25,86700.0
2015-05-18,269.9,271.0,264.51,269.85,78.34,48100.0
2015-05-19,272.72,273.5,266.0,268.53,77.96,128400.0
2015-05-20,268.0,269.0,265.0,265.07,76.95,91400.0
2015-05-21,267.98,267.98,263.81,266.49,77.37,96200.0
2015-05-22,267.0,269.95,267.0,267.73,77.73,193700.0
2015-05-25,267.0,267.01,254.35,254.35,73.84,514400.0
2015-05-26,256.9,256.9,248.0,249.32,72.38,212000.0
2015-05-27,249.0,256.69,248.2,254.29,73.82,218200.0
2015-05-28,253.51,256.4,253.5,255.96,74.31,47600.0
2015-05-29,256.05,268.75,256.0,268.54,77.96,479500.0
2015-06-01,268.96,273.5,266.25,268.64,77.99,251300.0
2015-06-02,270.0,282.07,270.0,281.76,81.8,735500.0
2015-06-03,283.94,286.97,280.0,281.24,81.65,236300.0
2015-06-04,279.01,280.0,275.0,277.49,81.72,870800.0
2015-06-05,277.49,277.49,277.49,277.49,81.72,
2015-06-08,277.49,277.49,277.49,277.49,81.72,
2015-06-09,263.75,265.0,256.6,257.52,75.84,388500.0
2015-06-10,257.5,260.0,251.75,252.04,74.23,313500.0
2015-06-11,253.1,253.9,245.0,247.14,72.78,663900.0
2015-06-12,249.0,249.0,245.5,246.58,72.62,1440500.0
2015-06-15,248.9,251.99,246.51,247.39,72.86,1005100.0
2015-06-16,248.79,248.8,241.3,242.3,71.36,425400.0
2015-06-17,242.05,244.0,233.05,235.19,69.26,997700.0
2015-06-18,237.01,244.0,236.8,240.87,70.94,973100.0
2015-06-19,242.47,243.5,238.1,239.81,70.62,395100.0
2015-06-22,240.5,240.5,235.99,237.1,69.83,306600.0
2015-06-23,238.5,238.5,232.0,232.88,68.58,674500.0
2015-06-24,234.0,238.7,232.5,236.69,69.71,847400.0
2015-06-25,235.11,240.0,235.1,237.72,70.01,673500.0
2015-06-26,235.61,240.0,235.6,239.43,70.51,221700.0
2015-06-29,239.43,245.0,238.0,244.15,71.9,474600.0
2015-06-30,245.98,250.0,245.0,249.12,73.37,541800.0
2015-07-01,250.0,261.57,249.7,260.29,76.66,942100.0
2015-07-02,262.01,268.0,262.0,265.5,78.19,1534500.0
2015-07-03,267.9,269.7,265.0,268.9,79.19,772500.0
2015-07-06,270.0,270.0,264.0,267.96,78.92,1550000.0
2015-07-07,268.9,271.5,265.0,265.41,78.16,491100.0
2015-07-08,265.01,266.0,263.5,264.94,78.03,874200.0
2015-07-09,265.0,265.0,261.05,263.48,77.6,315300.0
2015-07-10,266.74,266.74,262.14,263.53,77.61,376200.0
2015-07-13,262.01,264.5,262.0,264.05,77.76,134600.0
2015-07-14,265.0,267.0,262.0,262.58,77.33,704100.0
2015-07-15,264.49,265.39,263.16,264.68,77.95,188700.0
2015-07-16,265.95,267.9,264.0,266.81,78.58,910800.0
2015-07-17,266.81,266.81,266.81,266.81,78.58,
2015-07-20,266.81,266.81,266.81,266.81,78.58,
2015-07-21,266.81,266.81,266.81,266.81,78.58,
2015-07-22,268.0,277.05,268.0,275.63,81.17,578900.0
2015-07-23,277.8,281.0,275.06,277.48,81.72,728400.0
2015-07-24,279.9,279.9,275.03,276.07,81.3,138300.0
2015-07-27,276.01,280.0,270.0,275.08,81.01,225900.0
2015-07-28,275.0,278.5,272.1,274.08,80.72,612900.0
2015-07-29,273.8,277.75,273.51,276.86,81.54,130700.0
2015-07-30,277.99,278.9,272.2,273.43,80.53,114000.0
2015-07-31,274.0,280.0,272.76,277.2,81.64,48900.0
2015-08-03,279.2,281.4,278.51,279.26,82.24,409800.0
2015-08-04,277.01,281.0,276.55,277.12,81.61,89100.0
2015-08-05,279.0,286.5,277.7,281.67,82.95,1137000.0
2015-08-06,283.45,283.45,278.99,279.88,82.43,75500.0
2015-08-07,281.9,281.9,277.5,279.94,82.44,76900.0
2015-08-10,281.0,281.0,276.0,276.02,81.29,50900.0
2015-08-11,278.0,280.0,274.51,277.54,81.74,280100.0
2015-08-12,277.0,278.99,274.0,274.86,80.95,338400.0
2015-08-13,274.01,277.0,274.01,276.01,81.29,86400.0
2015-08-14,276.01,276.01,276.01,276.01,81.29,
2015-08-17,273.07,276.6,271.51,272.66,80.3,220800.0
2015-08-18,275.0,275.5,270.11,272.88,80.36,210400.0
2015-08-19,274.0,275.0,265.0,265.96,78.33,355400.0
2015-08-20,266.06,270.0,266.06,269.7,79.43,130300.0
2015-08-21,270.0,272.0,265.11,267.41,78.75,46200.0
2015-08-24,257.03,257.03,254.04,254.04,74.82,232800.0
2015-08-25,259.5,259.5,251.01,255.53,75.25,156800.0
2015-08-26,257.49,257.49,253.05,254.26,74.88,257600.0
2015-08-27,257.86,258.0,254.5,255.11,75.13,223600.0
2015-08-28,255.12,258.0,255.0,255.77,75.33,387500.0
2015-08-31,255.5,258.0,252.0,255.25,75.17,213000.0
2015-09-01,253.99,253.99,245.0,245.73,73.52,136000.0
2015-09-02,248.9,248.98,243.15,246.31,73.69,138700.0
2015-09-03,248.4,251.0,245.02,250.96,75.09,219200.0
2015-09-04,253.95,253.95,240.51,245.49,73.45,167000.0
2015-09-07,246.0,246.49,238.25,240.63,71.99,129000.0
2015-09-08,244.97,245.0,239.5,243.75,72.93,75000.0
2015-09-09,245.0,255.0,244.5,253.89,75.96,247600.0
2015-09-10,250.01,255.36,250.01,254.11,76.03,304200.0
2015-09-11,255.0,255.0,253.1,254.46,76.13,162500.0
2015-09-14,251.05,254.5,250.05,253.08,75.72,48300.0
2015-09-15,253.95,253.95,242.0,243.32,72.8,186100.0
2015-09-16,245.0,246.25,243.33,243.88,72.97,58800.0
2015-09-17,247.8,247.8,234.0,237.01,70.91,120000.0
2015-09-18,239.99,242.0,235.0,236.87,70.87,147500.0
2015-09-21,239.96,239.96,235.1,236.16,70.66,292200.0
2015-09-22,237.98,241.84,237.0,237.76,71.14,225600.0
2015-09-23,240.0,240.0,237.1,237.82,71.15,51700.0
2015-09-24,237.82,237.82,237.82,237.82,71.15,
2015-09-25,237.82,237.82,237.82,237.82,71.15,
2015-09-28,240.0,240.0,237.0,237.11,70.94,184900.0
2015-09-29,235.1,239.9,231.0,233.13,69.75,94200.0
2015-09-30,234.99,239.95,227.5,229.45,68.65,198000.0
2015-10-01,230.0,232.99,228.28,230.16,68.86,286100.0
2015-10-02,231.44,237.5,230.4,234.01,70.01,212700.0
2015-10-05,234.5,235.25,228.0,229.03,68.52,188600.0
2015-10-06,231.5,234.0,228.0,228.56,68.38,255600.0
2015-10-07,230.0,231.79,224.98,226.2,67.68,215100.0
2015-10-08,227.94,231.5,226.1,228.93,68.49,230500.0
2015-10-09,228.01,232.97,228.01,229.9,68.78,495000.0
2015-10-12,234.0,239.0,231.4,237.86,71.17,404100.0
2015-10-13,238.0,244.0,237.0,242.0,72.4,417500.0
2015-10-14,243.0,244.99,238.0,240.41,71.93,156500.0
2015-10-15,241.1,242.0,239.19,239.43,71.64,139000.0
2015-10-16,243.45,243.45,239.75,241.63,72.29,115700.0
2015-10-19,240.05,244.95,240.05,242.0,72.4,104100.0
2015-10-20,243.9,246.0,241.05,243.5,72.85,175500.0
2015-10-21,244.9,245.0,242.0,244.42,73.13,148700.0
2015-10-22,246.5,246.5,243.0,243.35,72.81,66900.0
2015-10-23,243.35,243.35,243.35,243.35,72.81,
2015-10-26,245.9,246.95,242.6,243.38,72.82,43300.0
2015-10-27,243.35,244.79,240.0,240.99,72.1,82200.0
2015-10-28,244.75,244.75,240.01,241.51,72.26,380500.0
2015-10-29,242.99,242.99,240.01,241.34,72.21,70000.0
2015-10-30,242.5,245.5,241.2,244.87,73.26,157700.0
2015-11-02,245.0,248.0,243.99,244.66,73.2,717300.0
2015-11-03,247.4,247.4,243.5,244.52,73.16,62500.0
2015-11-04,245.0,246.5,245.0,245.85,73.56,453600.0
2015-11-05,247.0,247.0,239.42,242.34,72.51,105700.0
2015-11-06,242.0,245.72,242.0,244.34,73.1,55600.0
2015-11-09,244.34,244.34,244.34,244.34,73.1,
2015-11-10,240.1,242.4,232.0,232.58,70.74,100100.0
2015-11-11,233.9,239.0,230.0,238.03,72.4,38700.0
2015-11-12,238.0,241.0,233.5,236.83,72.04,201300.0
2015-11-13,236.82,238.89,236.5,237.87,72.35,30100.0
2015-11-16,236.0,238.9,230.19,230.9,70.23,145400.0
2015-11-17,232.0,233.5,231.05,231.74,70.49,99800.0
2015-11-18,232.9,233.5,230.02,230.8,70.2,116000.0
2015-11-19,231.5,231.5,229.01,229.82,69.9,95700.0
2015-11-20,231.0,231.95,229.0,229.59,69.83,47900.0
2015-11-23,230.01,230.74,229.03,229.47,69.8,49300.0
2015-11-24,228.0,229.91,225.75,225.82,68.69,175800.0
2015-11-25,225.21,225.21,219.25,220.62,67.11,777400.0
2015-11-26,223.0,224.0,214.0,214.49,65.24,169600.0
2015-11-27,217.0,217.0,212.5,214.89,65.36,321900.0
