Date,Open ,High ,Low ,Close ,Adj Close ,Volume 
2015-01-01,27.34,27.63,27.34,27.63,12.02,195978.0
2015-01-02,27.42,27.86,27.42,27.63,12.02,44696.0
2015-01-05,27.46,27.79,27.46,27.63,12.02,140107.0
2015-01-06,27.47,28.21,27.46,28.19,12.26,120337.0
2015-01-07,28.19,28.19,28.19,28.19,12.26,
2015-01-08,28.07,28.15,28.07,28.07,12.21,7735.0
2015-01-09,28.07,29.47,27.92,29.47,12.82,2250310.0
2015-01-12,29.67,29.99,29.67,29.67,12.91,223483.0
2015-01-13,29.96,29.96,29.53,29.67,12.91,108303.0
2015-01-14,29.09,29.4,28.79,29.24,12.72,56730.0
2015-01-15,29.07,29.67,28.79,29.66,12.9,59309.0
2015-01-16,29.93,29.96,29.09,29.09,12.65,6876.0
2015-01-19,29.67,29.67,29.67,29.67,12.91,8595.0
2015-01-20,29.84,29.96,29.15,29.67,12.91,355855.0
2015-01-21,29.95,30.54,29.21,30.25,13.16,581917.0
2015-01-22,30.25,30.31,30.25,30.25,13.16,85095.0
2015-01-23,30.22,30.83,30.22,30.81,13.4,103146.0
2015-01-26,30.54,31.99,30.15,31.96,13.9,558709.0
2015-01-27,32.0,32.0,30.36,30.84,13.41,371327.0
2015-01-28,30.77,30.77,29.67,30.09,13.09,114320.0
2015-01-29,29.72,30.24,29.67,29.67,12.91,67904.0
2015-01-30,29.67,30.25,28.81,29.21,12.71,609423.0
2015-02-02,29.11,29.66,29.11,29.4,12.79,24067.0
2015-02-03,29.38,29.65,29.14,29.52,12.84,32663.0
2015-02-04,29.81,30.25,29.08,29.85,12.99,739215.0
2015-02-05,29.85,29.85,29.85,29.85,12.99,
2015-02-06,29.67,29.75,29.5,29.5,12.83,366169.0
2015-02-09,29.67,29.67,29.43,29.58,12.87,39539.0
2015-02-10,29.67,29.81,29.58,29.65,12.9,123775.0
2015-02-11,29.67,29.96,29.33,29.38,12.78,168472.0
2015-02-12,29.09,29.2,28.65,29.08,12.65,56730.0
2015-02-13,29.08,29.08,28.78,29.06,12.64,24067.0
2015-02-16,29.38,29.49,29.38,29.49,12.83,1719.0
2015-02-17,29.08,29.08,29.08,29.08,12.65,21488.0
2015-02-18,29.38,29.38,28.94,29.05,12.64,161596.0
2015-02-19,28.91,28.97,28.3,28.78,12.52,82517.0
2015-02-20,29.06,29.08,28.0,29.07,12.64,241534.0
2015-02-23,29.2,29.2,29.07,29.08,12.65,73921.0
2015-02-24,28.5,28.5,28.33,28.33,12.32,55870.0
2015-02-25,28.79,28.79,27.63,27.69,12.05,47275.0
2015-02-26,28.41,28.45,27.92,28.03,12.19,14612.0
2015-02-27,28.39,28.5,27.98,28.31,12.32,1058969.0
2015-03-02,27.81,28.4,27.81,27.83,12.11,178787.0
2015-03-03,28.5,28.5,27.63,27.64,12.02,30943.0
2015-03-04,27.63,27.63,26.9,27.05,11.77,66185.0
2015-03-05,27.61,27.81,27.57,27.63,12.02,2376664.0
2015-03-06,28.21,28.21,27.63,27.65,12.03,6016.0
2015-03-09,27.65,27.65,27.65,27.65,12.03,
2015-03-10,27.35,27.36,26.76,26.78,11.65,432355.0
2015-03-11,26.76,27.34,26.76,27.34,11.89,218326.0
2015-03-12,27.49,28.64,27.34,27.34,11.89,25786.0
2015-03-13,27.07,27.87,27.07,27.07,11.77,5157.0
2015-03-16,27.35,27.35,27.11,27.11,11.79,3438.0
2015-03-17,28.2,28.2,27.34,27.34,11.89,9455.0
2015-03-18,25.62,26.76,25.62,25.78,11.52,8595.0
2015-03-19,26.18,27.05,25.65,27.05,12.09,7735.0
2015-03-20,26.18,27.34,26.18,27.07,12.1,11174.0
2015-03-23,27.07,27.07,27.07,27.07,12.1,
2015-03-24,26.03,27.05,25.78,26.96,12.05,55870.0
2015-03-25,25.94,26.7,25.61,26.14,11.68,44696.0
2015-03-26,27.44,27.44,24.84,25.3,11.31,36960.0
2015-03-27,24.21,25.89,24.21,25.89,11.57,12033.0
2015-03-30,24.62,25.59,24.59,24.59,10.99,54151.0
2015-03-31,25.01,25.82,24.7,25.65,11.46,173629.0
2015-04-01,26.06,26.7,25.3,25.89,11.57,91112.0
