Date,Open ,High ,Low ,Close ,Adj Close ,Volume 
2015-01-01,69.4,70.34,69.25,69.51,43.6,1876500.0
2015-01-02,69.7,69.94,68.8,68.96,43.26,1859500.0
2015-01-05,69.0,69.6,68.52,69.13,43.37,1839000.0
2015-01-06,68.86,69.45,68.0,68.49,42.96,2359000.0
2015-01-07,68.5,69.58,67.8,68.63,43.05,6173000.0
2015-01-08,68.7,68.82,68.23,68.47,42.95,1904000.0
2015-01-09,68.6,69.15,68.55,68.94,43.25,3429500.0
2015-01-12,68.98,69.46,68.64,69.04,43.31,1466000.0
2015-01-13,68.95,69.2,68.58,68.85,43.19,438000.0
2015-01-14,69.15,69.25,68.65,68.94,43.25,1638000.0
2015-01-15,68.9,70.4,68.72,69.66,43.7,8340500.0
2015-01-16,69.52,70.9,69.36,70.47,44.21,9269000.0
2015-01-19,70.7,71.26,70.07,70.25,44.07,4194000.0
2015-01-20,70.45,71.44,69.83,70.76,44.39,9729500.0
2015-01-21,70.98,72.0,70.71,70.99,44.53,9622000.0
2015-01-22,71.01,71.08,68.95,69.37,43.52,6144000.0
2015-01-23,69.4,70.5,68.9,70.22,44.05,2847500.0
2015-01-26,70.0,71.0,69.5,69.99,43.91,6361000.0
2015-01-27,69.6,70.29,69.5,69.86,43.82,6166000.0
2015-01-28,69.6,70.15,69.6,69.74,43.75,762500.0
2015-01-29,69.7,70.74,69.7,70.24,44.06,3650500.0
2015-01-30,70.5,70.89,70.0,70.07,43.96,4085000.0
2015-02-02,70.25,70.7,68.65,68.89,43.22,6836500.0
2015-02-03,69.2,69.33,67.95,68.47,42.95,2829500.0
2015-02-04,68.6,69.7,68.0,69.08,43.33,7429500.0
2015-02-05,69.08,69.08,69.08,69.08,43.33,
2015-02-06,69.15,69.6,68.91,68.99,43.28,1380500.0
2015-02-09,69.2,69.25,68.06,68.44,42.93,1355500.0
2015-02-10,68.36,68.88,67.85,67.99,42.65,1329500.0
2015-02-11,68.25,68.25,65.85,66.48,41.7,2693500.0
2015-02-12,66.4,66.4,63.85,64.02,40.16,5611500.0
2015-02-13,64.39,67.22,64.1,67.22,42.17,7195500.0
2015-02-16,67.22,67.77,66.02,66.15,41.5,1341500.0
2015-02-17,66.4,66.49,65.02,65.31,40.97,1313000.0
2015-02-18,65.5,66.0,65.4,65.52,41.1,1418000.0
2015-02-19,65.7,67.7,65.4,67.15,42.12,5620000.0
2015-02-20,67.69,68.45,67.35,67.71,42.48,3839500.0
2015-02-23,68.2,69.0,67.95,68.06,42.69,3086000.0
2015-02-24,68.0,68.35,67.65,67.9,42.59,2264000.0
2015-02-25,67.9,68.45,67.3,67.45,42.31,1590500.0
2015-02-26,67.95,68.99,67.11,67.78,42.52,13847500.0
2015-02-27,68.0,68.1,67.5,67.62,42.42,2871500.0
2015-03-02,67.8,68.25,67.1,67.71,42.48,3047500.0
2015-03-03,68.0,68.1,65.05,66.1,41.47,4508000.0
2015-03-04,66.3,67.65,66.2,67.46,42.32,2952500.0
2015-03-05,67.69,67.95,67.17,67.74,42.49,1411000.0
2015-03-06,67.88,68.25,67.4,67.61,42.41,1737000.0
2015-03-09,67.89,67.9,65.85,66.12,41.48,2735000.0
2015-03-10,66.22,66.39,65.6,65.97,41.38,1337000.0
2015-03-11,65.26,65.8,64.75,65.44,41.05,5835500.0
2015-03-12,65.51,65.98,64.5,65.06,40.81,3335000.0
2015-03-13,65.48,65.84,65.1,65.32,40.98,1333000.0
2015-03-16,65.45,65.45,64.45,64.53,40.48,1118500.0
2015-03-17,64.78,65.1,63.95,64.53,40.48,1705000.0
2015-03-18,64.9,64.9,61.65,62.93,39.48,3203000.0
2015-03-19,56.01,56.99,55.02,55.32,38.03,1730500.0
2015-03-20,55.3,56.5,55.3,56.05,38.53,2091500.0
2015-03-23,56.05,56.05,56.05,56.05,38.53,
2015-03-24,56.1,56.49,53.7,54.01,37.13,1385000.0
2015-03-25,54.0,54.1,52.5,53.56,36.82,3554000.0
2015-03-26,54.0,54.5,50.9,53.25,36.6,4180500.0
2015-03-27,53.25,53.5,50.59,50.69,34.84,2032500.0
2015-03-30,50.05,50.05,48.16,48.18,33.12,4573500.0
2015-03-31,48.69,50.58,48.51,50.58,34.77,2252500.0
2015-04-01,52.1,53.1,51.7,53.03,36.45,6082500.0
2015-04-02,53.9,55.68,53.7,55.68,38.27,3602000.0
2015-04-03,56.0,58.46,56.0,58.42,40.16,2581500.0
2015-04-06,59.2,59.2,57.5,57.73,39.68,1373500.0
2015-04-07,57.89,57.89,56.06,57.02,39.19,1348500.0
2015-04-08,56.95,59.79,56.95,59.04,40.58,2328000.0
2015-04-09,59.07,59.07,58.2,58.56,40.25,321500.0
2015-04-10,58.98,59.59,58.3,58.58,40.27,1577000.0
2015-04-13,58.49,58.5,57.5,57.72,39.68,406500.0
2015-04-14,57.72,58.29,57.3,57.68,39.65,1372000.0
2015-04-15,58.08,58.28,57.71,57.97,39.85,706500.0
2015-04-16,58.29,59.25,57.75,58.97,40.54,1951000.0
2015-04-17,58.99,59.95,58.75,59.29,40.76,1372500.0
2015-04-20,59.47,59.9,58.01,58.62,40.29,1996000.0
2015-04-21,58.64,59.3,58.4,58.8,40.42,1561500.0
2015-04-22,58.8,61.74,58.61,61.62,42.36,3454000.0
2015-04-23,61.9,62.21,60.0,60.12,41.33,1172500.0
2015-04-24,60.48,60.69,60.08,60.38,41.5,551500.0
2015-04-27,60.55,60.85,60.0,60.51,41.59,756000.0
2015-04-28,60.4,60.9,59.69,59.95,41.21,905500.0
2015-04-29,60.0,60.4,58.3,58.61,40.29,1174500.0
2015-04-30,58.5,58.5,56.81,57.03,39.2,2646000.0
2015-05-01,57.03,57.03,57.03,57.03,39.2,
2015-05-04,57.7,57.7,56.9,56.99,39.17,923000.0
2015-05-05,56.4,57.45,56.36,57.0,39.18,753000.0
2015-05-06,56.82,57.49,56.82,56.99,39.17,671500.0
2015-05-07,57.0,57.0,56.31,56.49,38.83,1110500.0
2015-05-08,56.2,56.5,56.2,56.5,38.84,635000.0
2015-05-11,56.05,56.5,55.5,55.96,38.47,1502000.0
2015-05-12,56.0,56.5,55.75,56.12,38.58,625500.0
2015-05-13,56.1,56.25,55.79,55.92,38.44,376000.0
2015-05-14,55.76,56.79,55.76,56.44,38.8,911500.0
2015-05-15,56.55,57.4,56.31,57.04,39.21,903000.0
2015-05-18,57.0,57.19,56.76,56.98,39.17,304000.0
2015-05-19,57.24,57.24,56.61,56.92,39.13,217500.0
2015-05-20,56.76,56.95,56.6,56.87,39.09,135500.0
2015-05-21,57.24,57.24,56.8,56.99,39.17,439500.0
2015-05-22,56.76,57.0,56.51,56.87,39.09,297500.0
2015-05-25,56.5,56.8,54.03,54.5,37.46,1789000.0
2015-05-26,54.7,54.73,54.25,54.34,37.35,296000.0
2015-05-27,54.8,56.0,54.1,55.52,38.16,1210500.0
2015-05-28,55.25,55.7,55.0,55.43,38.1,196000.0
2015-05-29,55.84,56.2,53.0,54.03,37.14,2538500.0
2015-06-01,54.4,55.01,54.4,55.01,37.81,557500.0
2015-06-02,54.89,55.85,54.89,55.46,38.12,664500.0
2015-06-03,55.6,55.85,55.0,55.39,38.07,520500.0
2015-06-04,55.21,55.9,55.21,55.6,38.22,549000.0
2015-06-05,55.6,55.6,55.6,55.6,38.22,
2015-06-08,55.6,55.6,55.6,55.6,38.22,
2015-06-09,53.3,54.0,53.1,53.55,36.81,2336500.0
2015-06-10,53.7,53.95,53.1,53.39,36.7,693000.0
2015-06-11,53.5,53.9,53.25,53.63,36.86,664500.0
2015-06-12,53.62,53.73,53.41,53.67,36.89,248000.0
2015-06-15,53.95,53.95,53.45,53.87,37.03,556500.0
2015-06-16,53.51,53.99,53.51,53.88,37.04,196000.0
2015-06-17,53.65,53.83,53.1,53.22,36.58,1207500.0
2015-06-18,53.6,53.82,52.3,52.61,36.16,2561000.0
2015-06-19,52.5,52.85,50.65,51.21,35.2,1162500.0
2015-06-22,51.01,51.99,50.8,51.74,35.57,3503500.0
2015-06-23,51.56,52.1,51.5,52.01,35.75,563000.0
2015-06-24,52.6,54.61,52.2,54.53,37.48,1684000.0
2015-06-25,54.54,54.54,53.25,53.47,36.75,1114500.0
2015-06-26,53.05,53.3,52.2,52.54,36.12,788000.0
2015-06-29,52.6,53.8,52.0,53.45,36.74,679000.0
2015-06-30,53.52,53.84,53.0,53.19,36.56,903500.0
2015-07-01,53.55,53.85,53.26,53.75,36.95,410000.0
2015-07-02,53.8,54.1,53.6,53.81,36.99,1013000.0
2015-07-03,53.99,54.6,53.81,54.16,37.23,928000.0
2015-07-06,53.53,54.5,53.5,54.05,37.15,360500.0
2015-07-07,53.8,56.1,53.8,55.77,38.34,2167500.0
2015-07-08,55.97,56.25,54.4,54.77,37.65,406500.0
2015-07-09,54.6,54.6,53.55,53.87,37.03,340500.0
2015-07-10,54.74,54.75,53.76,53.83,37.0,162500.0
2015-07-13,53.6,54.19,53.6,53.85,37.02,216500.0
2015-07-14,53.95,53.95,53.02,53.25,36.6,826500.0
2015-07-15,53.0,53.79,52.91,53.54,36.8,343500.0
2015-07-16,53.3,54.85,53.2,54.25,37.29,766500.0
2015-07-17,54.25,54.25,54.25,54.25,37.29,
2015-07-20,54.25,54.25,54.25,54.25,37.29,
2015-07-21,54.25,54.25,54.25,54.25,37.29,
2015-07-22,54.45,56.96,54.2,56.96,39.15,2834500.0
2015-07-23,57.32,59.14,56.49,58.81,40.43,3670000.0
2015-07-24,59.1,59.15,57.5,57.7,39.66,728000.0
2015-07-27,57.56,57.8,56.8,57.02,39.19,1020000.0
2015-07-28,56.6,57.5,56.6,57.01,39.19,184000.0
2015-07-29,57.02,57.95,56.8,57.13,39.27,652000.0
2015-07-30,57.1,57.7,57.0,57.36,39.43,504500.0
2015-07-31,57.48,57.5,56.98,57.13,39.27,961000.0
2015-08-03,56.2,57.25,56.2,57.0,39.18,156500.0
2015-08-04,57.25,58.4,57.0,57.79,39.72,959000.0
2015-08-05,57.5,58.19,57.0,57.39,39.45,1320500.0
2015-08-06,57.65,58.48,57.6,58.2,40.01,534000.0
2015-08-07,58.4,58.88,57.75,57.98,39.85,343000.0
2015-08-10,58.0,58.0,57.5,57.51,39.53,253000.0
2015-08-11,58.0,58.0,57.45,57.65,39.63,227000.0
2015-08-12,57.65,57.75,56.99,57.07,39.23,384500.0
2015-08-13,57.1,57.47,57.01,57.22,39.33,172000.0
2015-08-14,57.22,57.22,57.22,57.22,39.33,
2015-08-17,57.5,57.6,57.22,57.5,39.52,429000.0
2015-08-18,57.56,58.38,57.5,57.87,39.78,868500.0
2015-08-19,57.8,58.1,57.6,57.78,39.72,245000.0
2015-08-20,57.01,57.49,56.15,57.44,39.48,139500.0
2015-08-21,57.44,57.5,54.57,55.13,37.9,776500.0
