Date,Open ,High ,Low ,Close ,Adj Close ,Volume 
2015-01-01,176.75,178.0,174.7,174.98,87.39,660900.0
2015-01-02,174.1,177.5,171.0,174.98,87.39,367200.0
2015-01-05,175.3,176.35,174.75,175.01,87.41,369600.0
2015-01-06,174.55,176.0,173.0,173.92,86.86,1539100.0
2015-01-07,172.9,177.0,172.9,175.07,87.44,1019700.0
2015-01-08,175.01,175.5,173.4,175.01,87.41,649700.0
2015-01-09,175.0,176.0,173.8,174.33,87.07,465500.0
2015-01-12,174.65,177.5,174.65,176.86,88.33,1204500.0
2015-01-13,177.0,177.8,174.31,175.4,87.6,519500.0
2015-01-14,175.01,176.25,175.0,175.3,87.55,786600.0
2015-01-15,175.9,180.5,175.3,179.49,89.64,1818400.0
2015-01-16,179.7,181.0,179.0,180.51,90.15,1167800.0
2015-01-19,180.0,181.5,177.0,177.96,88.88,571200.0
2015-01-20,178.06,179.0,177.2,178.76,89.28,1489500.0
2015-01-21,178.5,185.5,178.5,184.87,92.33,2974600.0
2015-01-22,184.0,186.0,178.53,179.89,89.84,941900.0
2015-01-23,179.5,180.1,178.11,179.66,89.73,343900.0
2015-01-26,178.11,183.48,178.0,181.58,90.69,1454200.0
2015-01-27,182.85,182.85,177.99,179.11,89.45,1361200.0
2015-01-28,178.15,179.88,178.06,178.9,89.35,611500.0
2015-01-29,179.4,179.4,177.5,177.92,88.86,589800.0
2015-01-30,178.5,182.2,177.75,179.99,89.89,1473500.0
2015-02-02,180.8,181.5,178.75,179.12,89.46,1133900.0
2015-02-03,179.0,179.9,177.53,178.41,89.1,645400.0
2015-02-04,178.61,179.48,176.5,177.09,88.44,1171700.0
2015-02-05,177.09,177.09,177.09,177.09,88.44,
2015-02-06,177.0,177.25,175.8,176.52,88.16,1114100.0
2015-02-09,177.2,177.45,176.01,176.56,88.18,432200.0
2015-02-10,176.5,176.5,172.55,173.15,86.48,1808600.0
2015-02-11,173.0,174.5,171.35,173.76,86.78,319800.0
2015-02-12,174.8,176.0,172.0,173.56,86.68,408500.0
2015-02-13,173.02,174.5,170.99,172.03,85.92,455000.0
2015-02-16,172.8,172.94,171.75,172.28,86.04,182300.0
2015-02-17,171.05,174.5,171.05,173.31,86.56,347500.0
2015-02-18,172.35,172.6,169.0,170.16,84.98,527300.0
2015-02-19,171.44,172.9,169.01,171.17,85.49,700900.0
2015-02-20,172.9,174.0,170.0,171.04,85.42,1132400.0
2015-02-23,171.51,172.0,169.0,169.99,84.9,984000.0
2015-02-24,170.6,170.92,169.01,169.85,84.83,2010700.0
2015-02-25,170.69,172.0,168.75,170.1,84.95,422800.0
